"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2019,2020,2021,2022,2023
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","계",51764822,51836239,51744876,51628117,51558034
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","0 - 4세",1930344,1776616,1617527,1483112,1374609
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","5 - 9세",2276175,2278285,2229491,2141600,2024713
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","10 - 14세",2241561,2250969,2296616,2309760,2286695
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","15 - 19세",2685976,2518218,2345904,2278815,2281595
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","20 - 24세",3439052,3392351,3278877,3099640,2914183
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","25 - 29세",3587776,3645542,3672722,3624252,3562623
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","30 - 34세",3306462,3307803,3302395,3380219,3483644
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","35 - 39세",4051769,3866979,3678606,3474135,3322429
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","40 - 44세",3847859,3872171,3941302,4028942,4055406
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","45 - 49세",4487622,4385732,4210888,4057029,3921880
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","50 - 54세",4297890,4338269,4423203,4481723,4517041
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","55 - 59세",4295393,4237067,4111535,4106280,4061077
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","60 - 64세",3627949,3814370,4064463,4144198,4252206
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","65 - 69세",2448622,2662232,2895582,3063244,3273593
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","70 - 74세",1886106,1990347,2090931,2167931,2240360
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","75 - 79세",1589635,1608464,1567531,1600887,1643360
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","80세이상",1764631,1890824,2017303,2186350,2342620
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","80 - 84세",1055839,1109242,1157941,1246971,1325872
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","85 - 89세",497418,548700,606100,657653,704923
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","90 - 94세",168248,187321,204369,227083,249986
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","95 - 99세",38355,40208,43186,48069,53667
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","100세 이상",4771,5353,5707,6574,8172
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","계",25948706,25925697,25857805,25790370,25749708
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","0 - 4세",989933,911251,830125,760945,704930
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","5 - 9세",1169113,1168681,1142585,1096835,1037417
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","10 - 14세",1157242,1161061,1182659,1188744,1175485
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","15 - 19세",1397832,1307326,1216561,1179762,1178494
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","20 - 24세",1823024,1779560,1711730,1620221,1527109
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","25 - 29세",1924269,1949923,1961366,1932353,1892488
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","30 - 34세",1743237,1745712,1743512,1789545,1851469
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","35 - 39세",2095902,1999740,1905313,1802970,1729806
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","40 - 44세",1970422,1979773,2018734,2062680,2078374
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","45 - 49세",2280977,2225868,2136552,2058849,1992320
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","50 - 54세",2159754,2177535,2219745,2254036,2277834
