번호,지역, 시군구,센터명,운영주체별,연락처,주력보육분야,우편번호,주소,상세주소
1,서울특별시,동작구,Creative Business Center(중앙대),대학,02-820-6370,"바이오, 의학, ICT, 문화예술, 소셜벤처",6974,"서울특별시 동작구 흑석로 84, 중앙대학교 102관 1001호 (흑석동)",중앙대학교 102관 1001호
2,서울특별시,강남구,LX공간드림센터(서울),공공기관·협단체,063-713-1146,공간정보,6053,"서울특별시 강남구 언주로 703, 5층 (논현동)",5층
3,서울특별시,관악구,S-INNOVATION(에스이노베이션),대학,02-880-2030,IT융복합분야,8826,서울특별시 관악구 관악로 1,서울대 연구공원본관 2층 226호
4,서울특별시,강남구,TIPS타운(팁스타운),공공기관·협단체,02-3440-7436,TIPS프로그램,6247,서울특별시 강남구 역삼로 165,(역삼동)3층 팁스타운 기획본부
5,서울특별시,광진구,건국대학교 창업보육센터,대학,02-450-3387,정보통신 및 컴퓨터 바이오,5029,"서울특별시 광진구 능동로 120, 건국대학교 창의관 210호 (화양동)",건국대학교 창의관 210호
6,서울특별시,동대문구,경희창업보육센터(서울),대학,02-961-9330,"바이오, IT",2447,서울특별시 동대문구 경희대로 26,경희대학교 창업보육센터(네오르네상스관 205호)
7,서울특별시,성북구,고려대학교 크림슨창업지원단,대학,02-3290-4811,정보통신공학기술,2841,서울특별시 성북구 안암로 145 (안암동5가),고려대학교 CJ식품안전관 103호
8,서울특별시,노원구,광운창업지원센터,대학,02-940-5635,"ICT, 에너지바이오, 문화콘텐츠",1886,서울특별시 노원구 석계로18길 23,"(월계동, 삼능스페이스향)3층, KW-TIB"
9,서울특별시,성북구,국민대창업보육센터,대학,02-910-5916,디자인분야,2707,서울특별시 성북구 정릉로 77,(정릉동)
10,서울특별시,강남구,글로벌벤처센터,민간기관,070-7090-0851,"IT, SW, 모바일앱",6258,서울특별시 강남구 도곡로 112,서한빌딩 2층 (도곡동)
11,서울특별시,종로구,덴탈메디케어 창업보육센터,대학,02-740-8637,"치과의약바이오, 의료기기, 의약품, 바이오소재",3080,서울특별시 종로구 대학로 101,(연건동)서울대학교 치의학대학원 덴탈메디케어 창업보육센터
12,서울특별시,중구,동국대학교 창업보육센터,대학,02-2088-2132,"플랫폼, AI",4626,"서울특별시 중구 퇴계로36길 2, 동국대학교 충무로관 본관 820호 (필동2가)",동국대학교 충무로관 본관 820호
13,서울특별시,마포구,마포비즈니스센터,정부·지자체,070-7432-4032,정보통신 및 전기전자,3911,서울특별시 마포구 매봉산로 18 (상암동),상암동
14,서울특별시,중구,비채나 창업보육센터,민간기관,02-2273-3690,"메타버스,패션테크,AI,IoT,AR,VR,ICT융복합",4564,"서울특별시 중구 장충단로 247, 4층 (을지로6가)",4층
15,서울특별시,노원구,삼육대학교창업보육센터,대학,02-3399-3908,교육용멀티미디어,1795,서울특별시 노원구 화랑로 815,(공릉동) 제1실습관 5층 5019호
16,서울특별시,마포구,서강비즈니스센터,대학,02-3274-4868,정보처리 및 기타 컴퓨터 운영 관련업 전자부품 영상 음향 및통신장비제조업,4107,서울특별시 마포구 백범로 35,(신수동) 서강대학교 떼이야르관 503호
17,서울특별시,서대문구,서대문구-서울시립대학교 창업지원센터,대학,02-3217-8712,"IT정보통신,환경,소셜,디지털",3628,서울특별시 서대문구 통일로 484,공유캠퍼스 23층 창업지원센터
18,서울특별시,노원구,서울과학기술대창업보육센터,대학,02-970-9026,"IT,소프트,콘텐츠,NT,BT",1811,서울특별시 노원구 공릉로 232,(공릉동) 서울과학기술대학교 테크노(62번건물) 3층 302호 창업지원단
19,서울특별시,노원구,서울여자대학교 창업보육센터,대학,02-970-7655,"지식서비스분야(CT, IT, 디자인 등)",1797,"서울특별시 노원구 화랑로 621, 서울여자대학교 고명우기념관 312호 창업보육센터 행정실 (공릉동)",서울여자대학교 고명우기념관 312호 창업보육센터 행정실
20,서울특별시,성북구,성북구한성대벤처창업지원센터_SHBI,대학,02-941-6639,"정보통신, 플랫폼 개발",2772,"서울특별시 성북구 화랑로 211, 한성대 벤처창업지원센터 (장위동)",한성대 벤처창업지원센터
21,서울특별시,강북구,성신유니콘센터,대학,02-920-7912,"뷰티테크, 문화예술",1133,"서울특별시 강북구 도봉로76가길 55, B동 1층 (미아동)",B동 1층
22,서울특별시,광진구,세종대학교벤처창업보육센터,대학,02-3408-3884,"정보통신,디지털콘텐츠,앱개발",5006,"서울특별시 광진구 능동로 209, 대양AI센터 330호 (군자동)",대양AI센터 330호
23,서울특별시,용산구,숙명여대창업보육센터,대학,02-3810-3732,"문화콘텐츠,1인창조기업",4310,서울특별시 용산구 청파로47길 100,백주년기념관 413호
24,서울특별시,동작구,숭실대학교 벤처중소기업센터,대학,02-829-8211,정보처리 및 컴퓨터운영 관련업,6978,서울특별시 동작구 상도로 369,(상도동) 벤처중소기업센터 409호
25,서울특별시,마포구,아트앤디자인테크 창업보육센터(홍익대_서울),대학,02-336-1163,"아트앤디자인, 아트앤디자인 테크 결합",4068,"서울특별시 마포구 독막로 101, BR엘리텔 빌딩 624호 (상수동)",BR엘리텔 빌딩 624호
26,서울특별시,강남구,여성기업종합지원센터,공공기관·협단체,02-369-0913,여성창업지원,6224,서울특별시 강남구 역삼로 221,(역삼동) 6층
27,서울특별시,서대문구,연세대학교 창업지원단,대학,02-2123-4317,연구개발1,3722,서울특별시 서대문구 연세로 50,(신촌동)공학원 211호
28,서울특별시,서대문구,이화여자대학교 창업지원단,대학,02-3277-3721,문화콘텐츠 등,3759,"서울특별시 서대문구 북아현로 150, 이화여자대학교 산학협력관 522호 (신촌동) (신촌동)",이화여자대학교 산학협력관 522호 (신촌동)
29,서울특별시,노원구,인덕대학창업지원단,대학,02-950-7095,학생창업지원사업,1878,서울 노원구 초안산로  12,인덕대학교 제1공학관 4층 창업지원단
30,서울특별시,영등포구,장애인기업종합지원센터(서울지역센터),공공기관·협단체,02-2181-6512,장애인 특화 창업보육,7230,서울특별시 영등포구 버드나루로14길 25,(당산동)7층
31,서울특별시,성동구,한양대학교 창업보육센터,대학,02-2220-1340,정보통신(IT),4763,"서울특별시 성동구 왕십리로 222, 한양종합기술연구원(HIT관) 115호 (사근동) (사근동)",한양종합기술연구원(HIT관) 115호 (사근동)
32,서울특별시,서초구,호서대학교 서울창업보육센터,대학,02-2059-2383,"반도체,디스플레이,나노,문화콘텐츠",6724,서울특별시 서초구 남부순환로 2497,(서초동)601호 경영지원실
33,서울특별시,성북구,홍릉벤처밸리창업보육센터,공공기관·협단체,02-958-6687,"바이오, ICT",2792,서울특별시 성북구 화랑로14길 5 (하월곡동),KIST H-2동 911C호
34,경기도,화성시,KAIST-화성시 동탄 사이언스 허브,민간기관,031-373-3532,"반도체,소재,AI,로봇",18478,"경기도 화성시 동탄역로 160, 롯데백화점 동탄점 B3 (오산동)",롯데백화점 동탄점 B3
35,경기도,성남시,가천대학교 창업보육센터,대학,031-750-5735,"나노,바이오,IT 등 첨단기술 분야",13120,경기도 성남시 수정구 성남대로 1342,(복정동)
36,경기도,부천시,가톨릭대학교 창업보육센터,대학,02-2164-4771,BT/IT관련 산업,14662,"경기도 부천시 지봉로 43, 가톨릭대학교 산학협력관 216호 (역곡동)",가톨릭대학교 산학협력관 216호
37,경기도,용인시,강남대창업보육센터,대학,031-283-6178,전기전자 IT,16977,경기도 용인시 기흥구 강남서로 20 (구갈동),강남대학교 창조산학관 102호 (구갈동)
38,경기도,시흥시,경기과학기술대학교창업보육센터,대학,031-496-4597,녹색성장 및 1인기업,15073,"경기도 시흥시 경기과기대로 270, 경기과학기술대학교 제1중소기업관 H동 207호 (정왕동)",경기과학기술대학교 창업보육센터
39,경기도,용인시,경기도여성창업보육센터,공공기관·협단체,031-270-9755,"전자상거래,컨텐츠비즈니스,IT등",16922,"경기도 용인시 기흥구 용구대로 2311, 경기도일자리재단 여성능력개발본부(남부) (마북동)",비즈니스동 2층 역량개발 1팀
40,경기도,수원시,경기벤처창업보육센터,공공기관·협단체,031-259-6187,전기전자 반도체 정보통신 정밀기기 S/W,16229,경기도 수원시 영통구 광교로 107,(이의동)
41,경기도,수원시,경기중소기업성장지원센터,정부·지자체,031-278-9503,IT BT NT 등,16426,경기도 수원시 권선구 수성로 8,(구운동) 경기중소기업성장지원센터
42,경기도,수원시,경기창업보육센터(경기대),대학,031-249-8663,"IT, BT",16227,경기도 수원시 영통구 광교산로 154-42,(이의동) 경기대학교 창업보육센터
43,경기도,안산시,경기테크노파크 안산창업보육센터,테크노파크·창조경제혁신센터,031-492-9901,"IT, SW, IT/SW융합",15432,경기도 안산시 단원구 연수원로 104-14,안산정보산업진흥센터
44,경기도,의정부시,경민대학교 창업보육센터,대학,031-828-7581,"의료기기, 전기전자 등",11618,경기 의정부시 서부로 545 경민대학교,창업보육센터 453호
45,경기도,남양주시,경복대학교 창업보육센터,대학,031-570-9831,"지식서비스산업, 신성장동력 등",12051,경기도 남양주시 진접읍 경복대로 425-80,창업보육센터
